Name,Image,Image SH,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,DIY Icon Filename,DIY Icon Filename SH,Serial ID,Internal ID,Unique Entry ID,Internal ID as hex
fish bait,,,1,manila clam,,,,,,,,,,,NFS,,,,Digging up clams,,,,1.0.0,Yes,0,Other,4549,white,FishBait,,131,191,XSQzMk4R5tzbPbToi,00BF
fish-and-chips,,,2,potato,1.0,dab,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Savory,14104,color_69,FtrFishandchips,,12302,915,bCyrGeDni9YbgrkSr,0393
fishing rod,,,1,flimsy fishing rod,1.0,iron nugget,,,,,,,,,NFS,200.0,,,Pretty Good Tools Recipes,Purchase Pretty Good Tools Recipes via Nook Miles Redemption,,,1.0.0,Yes,0,Tools,2377,beige,ToolAngling,,106,282,FeccEGBoFMHyMM75Q,011A
flat garden rock,,,20,stone,,,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,0,Housewares,12206,light gray,FtrGardenrockLow,,806,646,JFxaTW3m9gD8zWTyQ,0286
flimsy axe,,,5,tree branch,1.0,stone,,,,,,,,,280,200.0,,,Tom Nook; Nook's Cranny,Obtained through Tom Nook's DIY Workshop at the beginning of the game and can also be purchased at Nook's Cranny,,,1.0.0,Yes,0,Tools,3068,beige,ToolAxeStone,,100,10,6WFHd6r74ZDND9eCx,000A
flimsy fishing rod,,,5,tree branch,,,,,,,,,,,280,200.0,,,Tom Nook,Obtained through Tom Nook's DIY Workshop at the beginning of the game,,,1.0.0,Yes,0,Tools,3084,beige,ToolFishingrodWood,,105,21,9JboJHudaWqqbQxbZ,0015
flimsy net,,,5,tree branch,,,,,,,,,,,280,200.0,,,Tom Nook,Obtained from Tom Nook after completing his DIY Workshop at the beginning of the game,,,1.0.0,Yes,0,Tools,2376,beige,ToolNet,,107,22,jF9AD5TZekwWomWwJ,0016
flimsy shovel,,,5,hardwood,,,,,,,,,,,280,200.0,,,Blathers; Nook's Cranny,,,,1.0.0,Yes,0,Tools,3082,beige,ToolShovelWood,,103,19,bPp3TpiueJDRte9wT,0013
flimsy watering can,,,5,softwood,,,,,,,,,,,280,200.0,,,Tom Nook; Nook's Cranny,,,,1.0.0,Yes,0,Tools,3083,beige,ToolWateringWood,,109,20,FnnhLbn7KQdg2Xqey,0014
floral swag,,,10,clump of weeds,,,,,,,,,,,NFS,200.0,,,Normal villagers,,,,1.0.0,Yes,50,Wall-mounted,4027,green,FtrFlowerSwag,,1230,121,d2brTtEXPaFRfbcFh,0079
flour,,,5,wheat,,,,,,,,,,,NFS,200.0,,,Be a Chef! DIY Recipes+,,,,2.0.0,Yes,0,Savory,13994,color_61,FlourWheat,,12001,903,H2HybpsWw7ZAaHLim,0387
flower stand,,,1,red roses,2.0,pink roses,2.0,orange roses,2.0,white lilies,1.0,yellow lilies,4.0,purple windflowers,NFS,200.0,,,Big Sister villagers,,,,1.0.0,Yes,100,Housewares,7527,green,FtrStandflower,,7808,608,faN686NpjrFkDricn,0260
flying saucer,,,15,star fragment,10.0,iron nugget,,,,,,,,,NFS,200.0,,,Celeste,,,,1.0.0,Yes,0,Housewares,1447,silver,FtrUFO,,2227,233,JDCn8zkKX2JwHBxBh,00E9
forbidden altar,,,30,stone,,,,,,,,,,,NFS,200.0,,,Lazy villagers,,,,2.0.0,Yes,50,Housewares,13520,light gray,FtrAltar,,823,1048,fHyDHqcgpS7N8SFJ4,0418
forest flooring,,,1,rare mushroom,2.0,round mushroom,2.0,skinny mushroom,2.0,flat mushroom,10.0,clump of weeds,,,NFS,200.0,,,Balloons,,mushrooms,Yes,1.0.0,Yes,0,Floors,7186,orange,RoomTexFloorMushForest00,,5460,488,Qb6n9omuBxypP7aje,01E8
forest wall,,,2,elegant mushroom,2.0,round mushroom,2.0,skinny mushroom,2.0,flat mushroom,10.0,wood,,,NFS,200.0,,,Balloons,,mushrooms,Yes,1.0.0,Yes,0,Wallpaper,7187,orange,RoomTexWallMushForest00,,5450,484,dtfYZqMNT9jsPDwTj,01E4
fossil doorplate,,,1,fossil,2.0,stone,,,,,,,,,NFS,200.0,,,Jock villagers,,,,1.0.0,Yes,50,Wall-mounted,5719,light gray,FtrDoorOrnamentFossil,,840,464,eig2yBncaDeGLkfKP,01D0
fountain,,,1,drinking fountain,20.0,stone,8.0,iron nugget,,,,,,,NFS,200.0,3000.0,Nook Miles,Nook Miles Redemption,,,,1.0.0,Yes,0,Housewares,8031,light gray,FtrFountain,,804,599,LWAeuHiDEv25pHRQx,0257
foxtail,,,3,clump of weeds,,,,,,,,,,,NFS,200.0,,,Peppy villagers,,,,2.0.0,Yes,0,Other,14645,green,ToolFoxtailPlayer,,1293,1036,9WDYYJepjkjT9qBuX,040C
french fries,,,3,potato,,,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Savory,14105,color_63,FtrChips,,12301,916,cbSEnSErNKG8e3st5,0394
frosted cookies,,,1,flour,2.0,sugar,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,13993,color_75,FtrCookieIcing,,14002,902,7L5SgF5F6Xv5rjH6Z,0386
frosted pretzels,,,1,flour,2.0,sugar,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,13987,color_62,FtrPretzelSugar,,14102,896,yxMnLdmcpzcSTxfRy,0380
frozen arch,,,1,large snowflake,10.0,snowflake,,,,,,,,,NFS,200.0,,,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3499,blue,FtrIceGate,,6606,140,FqCNQ69DMLvgxruE9,008C
frozen bed,,,1,large snowflake,10.0,snowflake,,,,,,,,,NFS,200.0,,,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3502,blue,FtrIceBedW,,6604,149,zBcsrLsdydLH3xHNE,0095
frozen chair,,,1,large snowflake,3.0,snowflake,,,,,,,,,NFS,200.0,,,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3503,blue,FtrIceChairS,,6601,142,jJq4Bjw6SaE7S8mnT,008E
frozen counter,,,1,large snowflake,5.0,snowflake,,,,,,,,,NFS,200.0,,,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3505,blue,FtrIceCounter,,6602,143,p76DgzdnhT9SCNipu,008F
frozen fence,,,5,snowflake,,,,,,,,,,,NFS,200.0,,,Balloons,,snowflakes,Yes,2.0.0,Yes,0,Other,14756,blue,ItemFenceIce,,7090,1008,bkpwgSC3PfhFJ8pby,03F0
frozen floor tiles,,,8,snowflake,,,,,,,,,,,NFS,200.0,,,Balloons,,snowflakes,Yes,2.0.0,Yes,0,Rugs,13572,blue,RugSquareIceS00,,7070,1044,MBhcKeApyKhzZqncH,0414
frozen mini snowperson,,,1,large snowflake,2.0,snowflake,,,,,,,,,NFS,200.0,,,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,2.0.0,Yes,0,Miscellaneous,743,blue,FtrIceSnowball,,6611,1063,FuuFZ5nxpMinaPY58,0427
frozen partition,,,1,large snowflake,6.0,snowflake,,,,,,,,,NFS,200.0,,,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3498,blue,FtrIceScreen,,6605,147,8MAAQxYSHaQBQ6A2t,0093
frozen pillar,,,1,large snowflake,3.0,snowflake,,,,,,,,,NFS,200.0,,,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3500,blue,FtrIcePillar,,6607,148,NLsTNAekFvRenddKs,0094
frozen sculpture,,,1,large snowflake,4.0,snowflake,,,,,,,,,NFS,200.0,,,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3501,blue,FtrIceArt,,6608,141,GGrDCvwPHpbzRnhzi,008D
frozen table,,,1,large snowflake,8.0,snowflake,,,,,,,,,NFS,200.0,,,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3497,blue,FtrIceTableL,,6603,146,ERiC3P6oPfo8EgJcb,0092
frozen tree,,,1,large snowflake,8.0,snowflake,,,,,,,,,NFS,200.0,,,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Housewares,3504,blue,FtrIceTree,,6609,145,CiiuZA9ZJhtjTrD8C,0091
frozen-treat set,,,1,large snowflake,1.0,snowflake,,,,,,,,,NFS,200.0,,,Snowboy,Reward for making a perfect Snowboy,snowflakes,Yes,1.0.0,Yes,0,Miscellaneous,4279,blue,FtrIceCandy,,6600,194,ygrBuPoB8ZKRjnXXD,00C2
fruit basket,,,1,apple,1.0,pear,1.0,cherry,1.0,orange,1.0,peach,,,NFS,200.0,,,Cranky villagers,,,,1.0.0,Yes,100,Miscellaneous,975,white,FtrFruitbasket,,1900,56,sAtJ8kdcam2FX5MJb,0038
fruit cupcakes,,,1,flour,1.0,apple,1.0,orange,1.0,pear,1.0,peach,1.0,cherry,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,14116,color_70,FtrCupcakeFruits,,14203,924,tCDrHekuCbcy2nchq,039C
fruit pizza,,,3,flour,1.0,apple,1.0,orange,1.0,pear,1.0,peach,1.0,cherry,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Savory,14697,color_63,FtrPizzaFruits,,13203,969,ad8Jxepey729xieTR,03C9
fruit salad,,,1,apple,1.0,orange,1.0,pear,1.0,peach,1.0,cherry,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Savory,13966,color_73,FtrSaladbowlFruits,,12205,875,E88cLtY4J7Jw6QgaQ,036B
fruit scones,,,2,flour,1.0,apple,1.0,orange,1.0,pear,1.0,peach,1.0,cherry,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,14115,color_70,FtrSconeFruits,,14402,923,gpgHgqhHPmXohiHov,039B
fruit wreath,,,2,apple,1.0,pear,3.0,cherry,3.0,orange,1.0,peach,,,NFS,200.0,,,Cranky villagers,,,,1.0.0,Yes,100,Wall-mounted,4378,white,FtrDoorOrnamentWreathFruit,,1940,223,FPCNEvg2aBDZZkjxu,00DF
fruit-topped pancakes,,,2,flour,1.0,apple,1.0,orange,1.0,pear,1.0,peach,1.0,cherry,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Sweet,14132,color_64,FtrPancakeFruits,,14803,940,iNr2FDtBATbYFx3He,03AC
frying pan,,,2,iron nugget,,,,,,,,,,,NFS,200.0,,,DIY for Beginners,Purchase DIY for Beginners at Nook's Cranny,,,1.0.0,Yes,0,Miscellaneous,4104,dark gray,FtrPan,,908,199,bgMKMNGmxjKPXaDNp,00C7
full-body glowing-moss suit,,,15,glowing moss,,,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Equipment,14257,color_56,TopsTexOnepieceSalopetteemmLMoss0,,1583,1005,i35LbGfqcgZwgpWqD,03ED
galaxy flooring,,,5,star fragment,1.0,large star fragment,,,,,,,,,NFS,200.0,,,Celeste,,,,1.0.0,Yes,0,Floors,5269,silver,RoomSpFloorGalaxy00,,2260,482,e3XyJ7j4bQYXSRDBW,01E2
garbage-heap flooring,,,2,empty can,2.0,boot,2.0,old tire,,,,,,,NFS,,,,Fishing,Fish up 15 trash,,,1.0.0,Yes,0,Floors,5236,dark gray,RoomTexFloorGarbage00,,680,486,Ksn3xwxp4aqcty4Z6,01E6
garbage-heap wall,,,2,empty can,2.0,boot,2.0,old tire,,,,,,,NFS,,,,Fishing,Fish up 15 trash,,,1.0.0,Yes,0,Wallpaper,5229,dark gray,RoomTexWallGarbage00,,670,301,pmFETBqn6JQFmXnA3,012D
garden bench,,,12,wood,4.0,iron nugget,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,0,Housewares,3509,blue,FtrParkbenche,,1009,124,AToP4B59FCDjcpbHj,007C
garden rock,,,15,stone,,,,,,,,,,,NFS,200.0,,,Lazy villagers,,,,1.0.0,Yes,0,Housewares,729,light gray,FtrGardenrock,,805,48,gH69947Ybie3us6SB,0030
garden wagon,,,3,white hyacinths,3.0,red cosmos,3.0,yellow roses,8.0,wood,2.0,iron nugget,,,NFS,200.0,,,Peppy villagers,,,,1.0.0,Yes,50,Housewares,8419,brown,FtrGardenwagon,,436,571,4g5iFxN9TFG7KwndZ,023B
gear apparatus,,,3,gears,,,,,,,,,,,NFS,200.0,,,Big Sister villagers,,,,2.0.0,Yes,50,Housewares,13511,yellow,FtrGearVertical,,2168,1047,mBBXoCPzatB9dsd8h,0417
gear tower,,,4,gears,,,,,,,,,,,NFS,200.0,,,Big Sister villagers,,,,2.0.0,Yes,50,Housewares,13509,yellow,FtrGearHorizontal,,2167,1046,CTbWocnuicHLsYz3Q,0416
Gemini closet,,,3,star fragment,2.0,Gemini fragment,2.0,gold nugget,6.0,stone,,,,,NFS,200.0,,,Celeste,,Gemini,Yes,1.0.0,Yes,0,Housewares,5960,silver,FtrZodiacGemini,,2302,377,jD3cfJDgrgBozKYnz,0179
giant ornament,,,10,red ornament,,,,,,,,,,,NFS,200.0,,,All villagers; Balloons,,ornaments,Yes,2.0.0,Yes,0,Housewares,14594,white,FtrOrnamentBig,,7414,1013,W2b8yFSKD2pCSgibP,03F5
giant teddy bear,,,1,Papa bear,1.0,Mama bear,1.0,Baby bear,,,,,,,NFS,200.0,,,Peppy villagers,,,,1.0.0,Yes,100,Housewares,1504,yellow,FtrBearXL,,2160,577,jPYidbBoH7RNB4jRQ,0241
giant vine,,,25,vine,,,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Housewares,14192,color_56,FtrBeanstalk,,1303,830,bJ36JiffXjoKehdN7,033E
gift pile,,,3,red wrapping paper,1.0,wooden-block toy,1.0,cardboard box,,,,,,,NFS,200.0,,,Jingle,Reward from Jingle after delivering more than half the gifts on Toy Day,Toy Day,Yes,1.6.0,Yes,0,Housewares,13244,white,FtrCrsPresents,,7411,750,w5mSW9qzTeyEypXTh,02EE
glow-in-the-dark stickers,,,5,glowing moss,,,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Wall-mounted,14215,color_56,FtrLuminousSticker,,1530,998,NwRL2i2m6Xts7qmvz,03E6
glowing-moss balloon,,,10,glowing moss,1.0,iron nugget,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Housewares,14208,color_56,FtrLuMossBalloon,,1502,1000,vxppzYpNu2H5RuXwA,03E8
glowing-moss boulder,,,15,glowing moss,,,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Housewares,14209,color_56,FtrLuMossTable,,1501,828,znAWfRX9ukCK2RK46,033C
glowing-moss cave wall,,,10,glowing moss,10.0,clay,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Wallpaper,13881,color_56,RoomSpWallGlowCave00,,1551,772,K3JbMBxMBZr9ZpqjJ,0304
glowing-moss dress,,,15,glowing moss,,,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Equipment,14259,color_56,TopsTexOnepieceBalloonemmHMoss0,,1584,1006,rpKeoJZ3kEyshQLAi,03EE
glowing-moss flooring,,,10,glowing moss,10.0,clump of weeds,5.0,stone,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Floors,13879,color_56,RoomSpFloorGlowMoss00,,1560,770,Eq3nYFjnB3h7QEwbc,0302
glowing-moss forest wall,,,10,glowing moss,10.0,hardwood,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Wallpaper,13019,color_56,RoomSpWallGlowMoss00,,1550,773,uARWazeeLrFfxPZnb,0305
glowing-moss headband,,,3,glowing moss,,,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Equipment,14201,color_56,CapOrnamentFMoss0,,1582,1004,iWLMkxHwdxBZHKx73,03EC
glowing-moss hood,,,8,glowing moss,,,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Equipment,14199,color_56,CapCostumeMoss0,,1580,1002,uhuDiCmFfateCdrRf,03EA
glowing-moss jar,,,3,glowing moss,,,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Miscellaneous,14604,color_56,FtrLuMossBottle,,1503,1001,CwWgFRg3XFij6Bcbw,03E9
glowing-moss pointed cap,,,8,glowing moss,,,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Equipment,14198,color_56,CapHatMoss0,,1581,1003,PGwujCnH3QHrDEwsg,03EB
glowing-moss pond,,,30,glowing moss,10.0,stone,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Housewares,14212,color_56,FtrLuMossFountain,,1507,995,qtaZkptnWkY53bngb,03E3
glowing-moss rug,,,6,glowing moss,,,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Rugs,13877,color_56,RugRectGlowMossM00,,1571,768,95Fvc6yPCAzw4hXSH,0300
glowing-moss ruins wall,,,10,glowing moss,1.0,ruins wall,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Wallpaper,13874,color_56,RoomSpWallGlowRemains00,,1552,765,zd258JrtWLHEFjt8K,02FD
glowing-moss statue,,,5,glowing moss,8.0,stone,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Housewares,14213,color_56,FtrLuMossStatue,,1506,996,vADanXnx9D3QosSdx,03E4
glowing-moss stool,,,8,glowing moss,,,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Housewares,14207,color_56,FtrLuMossChair,,1500,827,J5CZbZHxn7chngcmG,033B
glowing-moss wreath,,,5,glowing moss,,,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Wall-mounted,14211,color_56,FtrDoorOrnamentWreathLuMoss,,1540,994,9knqoEQkS4TAmspFa,03E2
glowing-moss-jar shelves,,,6,glowing-moss jar,6.0,iron nugget,,,,,,,,,NFS,200.0,,,Kapp'n island bottles; HHP island bottles,,,,2.0.0,Yes,0,Housewares,14214,color_56,FtrLuMossShelf,,1504,997,DGKnaL7QgHt93NiaN,03E5
gnocchi di carote,,,2,flour,3.0,carrot,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Savory,13940,color_61,FtrGnocchiCarrot,,12901,853,FR4pcoqQTEAru5dCs,0355
gnocchi di patate,,,2,flour,3.0,potato,,,,,,,,,NFS,200.0,,,Basic Cooking Recipes,,,,2.0.0,Yes,0,Savory,13939,color_73,FtrGnocchiPotato,,12902,852,zbCK2ibhrPLZd4juP,0354
gnocchi di zucca,,,2,flour,3.0,orange pumpkin,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,0,Savory,13938,color_68,FtrGnocchiPumpkin,,12903,851,2vBYxcMArqhGwRFQk,0353
gold armor,,,8,gold nugget,,,,,,,,,,,NFS,200.0,,,Smug villagers,,,,1.0.0,Yes,100,Equipment,4590,gold,TopsTexOnepieceOverallLPlatearmorGold,,1161,566,9ThvdcF6fyMHcpzx2,0236
gold bars,,,3,gold nugget,,,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,100,Miscellaneous,3065,gold,FtrGoldbar,,1100,81,3DtQMaiAHW8XDdX4c,0051
gold helmet,,,5,gold nugget,,,,,,,,,,,NFS,200.0,,,Smug villagers,,,,1.0.0,Yes,200,Equipment,5346,gold,CapFullfaceKnightGold,,1160,644,ihpryTYADPJmMyH3G,0284
gold rose crown,,,6,gold roses,,,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,200,Equipment,7378,green,CapOrnamentRose5,,8216,460,RAj5rwhgZgfNLzsTh,01CC
gold rose wreath,,,10,gold roses,,,,,,,,,,,NFS,200.0,,,All villagers,,,,1.0.0,Yes,200,Wall-mounted,5820,green,FtrDoorOrnamentWreathRoseGold,,7856,449,fYHqu9bGpt2ivTWRt,01C1
gold-armor shoes,,,4,gold nugget,,,,,,,,,,,NFS,200.0,,,Smug villagers,,,,1.0.0,Yes,200,Equipment,5524,gold,ShoesKneeKnightGold,,1162,643,4nY6xoTSqFMjzsTLp,0283
gold-nugget mining car,,,3,gold nugget,1.0,mining car,,,,,,,,,NFS,200.0,,,Jock villagers,,,,2.0.0,Yes,100,Housewares,14480,gold,FtrGoldTrolley,,1123,1031,TrrHRrPWiwDFRRqNF,0407
gold-screen wall,,,2,gold nugget,1.0,screen wall,,,,,,,,,NFS,200.0,,,Smug villagers,,,,1.0.0,Yes,100,Wallpaper,4820,gold,RoomTexWallFusumaGorgeous00,,1151,298,oCeLPYajbm2MHZyGn,012A
golden altar,,,5,gold nugget,1.0,forbidden altar,,,,,,,,,NFS,200.0,,,Lazy villagers,,,,2.0.0,Yes,200,Housewares,14482,gold,FtrGoldAltar,,1122,1029,9pTNd8Haukur6KfYa,0405
golden arowana model,,,3,gold nugget,,,,,,,,,,,NFS,200.0,,,Lazy villagers,,,,1.0.0,Yes,100,Miscellaneous,11260,gold,FtrFishArowanaGold,,1132,602,TG3z4Bf2ju3Wo5tRK,025A
golden axe,,,1,gold nugget,1.0,axe,,,,,,,,,NFS,,,,Breaking 100 axes,,,,1.0.0,Yes,0,Tools,9617,gold,ToolAxeGold,,112,663,M67DJhFjbWusf3xXk,0297
golden bathtub,,,2,gold nugget,1.0,square bathtub,,,,,,,,,NFS,200.0,,,Peppy villagers,,,,2.0.0,Yes,100,Housewares,14483,gold,FtrGoldBathSquare,,1120,1030,fY9XZ74aRKnhdt4cD,0406
golden candlestick,,,2,gold nugget,,,,,,,,,,,NFS,200.0,,,Smug villagers,,,,1.0.0,Yes,50,Miscellaneous,3772,gold,FtrGoldCandlestand,,1102,130,F78p9Pkj6X2TRfpDT,0082
golden casket,,,8,gold nugget,,,,,,,,,,,NFS,200.0,,,Smug villagers,,,,1.0.0,Yes,200,Housewares,8825,gold,FtrGoldCoffin,,1105,569,erQLwMgyX6NwbpNmG,0239
golden decorative plate,,,1,gold nugget,1.0,decorative plate,,,,,,,,,NFS,200.0,,,Cranky villagers,,,,2.0.0,Yes,100,Miscellaneous,14492,gold,FtrGoldDecorativeplate,,1111,1027,tSPacuJhhLwshhhgM,0403
golden dharma,,,1,gold nugget,1.0,dharma,,,,,,,,,NFS,200.0,,,Cranky villagers,,,,2.0.0,Yes,100,Miscellaneous,14487,gold,FtrGoldDharma,,1109,825,PH6T5n5grNanGNxbY,0339
golden dishes,,,1,gold nugget,,,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,50,Miscellaneous,3810,gold,FtrGoldDishes,,1101,131,NX2ZZ8qZnEqqWtSGH,0083
golden dung beetle,,,3,gold nugget,,,,,,,,,,,NFS,200.0,,,Lazy villagers,,,,1.0.0,Yes,100,Miscellaneous,5941,gold,FtrInsectKabutomushiGold,,1131,601,XhKhDoMTgc8eAoJna,0259
golden flooring,,,4,gold nugget,,,,,,,,,,,NFS,200.0,,,Smug villagers,,,,1.0.0,Yes,100,Floors,5021,gold,RoomTexFloorGold00,,1155,475,Xju8kS2TB7B9EXbDG,01DB
golden garden bunny,,,1,gold nugget,1.0,bunny garden decoration,,,,,,,,,NFS,200.0,,,Normal villagers,,,,2.0.0,Yes,100,Miscellaneous,14488,gold,FtrGoldOrnamentRabbit,,1113,1024,dPg2a7oiZy4CzMee6,0400
golden gear apparatus,,,2,gold nugget,1.0,gear apparatus,,,,,,,,,NFS,200.0,,,Big Sister villagers,,,,2.0.0,Yes,100,Housewares,14485,gold,FtrGoldGearVertical,,1117,1022,upbwMnFjWGmHNtgP7,03FE
golden gear tower,,,2,gold nugget,1.0,gear tower,,,,,,,,,NFS,200.0,,,Big Sister villagers,,,,2.0.0,Yes,100,Housewares,14486,gold,FtrGoldGearHorizontal,,1118,1023,8DPAigiGevwoymiyq,03FF
golden gears,,,1,gold nugget,3.0,iron nugget,,,,,,,,,NFS,200.0,,,Smug villagers,,,,1.0.0,Yes,50,Wall-mounted,11261,gold,FtrGearWallGold,,1130,595,5JDaCQoYazbP4QkGN,0253
golden ladder set-up kit,,,1,ladder,1.0,gold nugget,,,,,,,,,NFS,200.0,,,All villagers,,,,2.0.0,Yes,100,Tools,14470,gold,LadderKitD,,126,819,QkvwL7LsEtLzxuHxh,0333
golden meter and pipes,,,2,gold nugget,1.0,meter and pipes,,,,,,,,,NFS,200.0,,,Big Sister villagers,,,,2.0.0,Yes,100,Housewares,14484,gold,FtrGoldBulb,,1116,1021,Xo4sJGYucyRqjvYd5,03FD
golden net,,,1,gold nugget,1.0,net,,,,,,,,,NFS,200.0,,,Completing bug Critterpedia,,,,1.0.0,Yes,0,Tools,8179,gold,ToolNetGold,,115,658,cnQ4qLNgFDK7F4NQJ,0292
golden piggy bank,,,1,gold nugget,1.0,piggy bank,,,,,,,,,NFS,200.0,,,Normal villagers,,,,2.0.0,Yes,100,Miscellaneous,14479,gold,FtrGoldPigbank,,1112,1020,mHpfACFkTpL4vGppR,03FC
golden pillar,,,4,gold nugget,,,,,,,,,,,NFS,200.0,,,Niko,"Received after donating DIY materials, after 19th HHP house",Happy Home Paradise,Yes,2.0.0,Yes,0,Other,14600,color_54,FtrWallPillarGold,,1182,835,NtqEiTFP8SyhYA8Gz,0343
golden plate armor,,,2,gold nugget,1.0,plate armor,,,,,,,,,NFS,200.0,,,Smug villagers,,,,2.0.0,Yes,100,Housewares,14478,gold,FtrGoldArmor,,1115,1019,7avyvZXAoTyvKwpfC,03FB
golden rod,,,1,gold nugget,1.0,fishing rod,,,,,,,,,NFS,200.0,,,Completing fish Critterpedia,,,,1.0.0,Yes,0,Tools,8660,gold,ToolFishingrodGold,,114,662,FTWgTtoCgm3jNGhM4,0296
golden samurai suit,,,2,gold nugget,1.0,samurai suit,,,,,,,,,NFS,200.0,,,Jock villagers,,,,2.0.0,Yes,100,Housewares,14533,gold,FtrGoldArmorHelmetJapan,,1121,1032,aD9hH8DGH6dsqBCva,0408
golden seat,,,5,gold nugget,,,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,200,Housewares,3473,gold,FtrGoldbench,,1103,133,EgGa9re6PRbpcCESz,0085
golden shovel,,,1,gold nugget,1.0,shovel,,,,,,,,,NFS,200.0,,,Helping Gulliver 30 times,,,,1.0.0,Yes,0,Tools,8574,gold,ToolScoopGold,,113,660,aEtPEYkwgj9BJ48Et,0294
golden slingshot,,,1,gold nugget,1.0,slingshot,,,,,,,,,NFS,200.0,,,Gold balloon,Balloon appears after shooting 300 balloons,,,1.0.0,Yes,0,Tools,8578,gold,ToolSlingshotGold,,117,661,W7WY5fpjB4Lc36YYs,0295
golden toilet,,,6,gold nugget,,,,,,,,,,,NFS,200.0,,,Snooty villagers,,,,1.0.0,Yes,200,Housewares,3472,gold,FtrGoldWC,,1106,262,LExLS6QXyLuhewyZm,0106
