Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Stack Size,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Size,Surface,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Food Power,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID,Internal ID as hex,Variant Pattern Encoded
model kit,,Unpainted,Color,,,No,No,No,,1,,,1000.0,570,142,White,Black,1x1,No,510.0,Poki,Nook's Cranny; HHP Office,,,,103,child's room,workshop,,,,No,Toy,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrModelkitset_Remake_6_0,6_0,13628,ALFydjHMzWZcridYA,353C,"(6, 0)"
model kits,,Robots,Genre,,,No,No,No,,1,,,1000.0,690,172,Red,Colorful,1x1,Yes,620.0,Poki,Nook's Cranny; HHP Office,,,,103,child's room,shop,,,,No,Toy,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrModelkitBox_Remake_0_0,0_0,13740,bKkxjyy5NNWBAFb3n,35AC,"(0, 0)"
model kits,,Cars,Genre,,,No,No,No,,1,,,1000.0,690,172,Red,Colorful,1x1,Yes,620.0,Poki,Nook's Cranny; HHP Office,,,,103,child's room,shop,,,,No,Toy,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrModelkitBox_Remake_1_0,1_0,13740,Xp6izrM8W8a2aEMqG,35AC,"(1, 0)"
model kits,,Trains,Genre,,,No,No,No,,1,,,1000.0,690,172,Green,Colorful,1x1,Yes,620.0,Poki,Nook's Cranny; HHP Office,,,,103,child's room,shop,,,,No,Toy,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrModelkitBox_Remake_2_0,2_0,13740,73R3JF3MsqSwMuzR5,35AC,"(2, 0)"
model kits,,Transportation,Genre,,,No,No,No,,1,,,1000.0,690,172,Black,Colorful,1x1,Yes,620.0,Poki,Nook's Cranny; HHP Office,,,,103,child's room,shop,,,,No,Toy,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrModelkitBox_Remake_3_0,3_0,13740,o6W2Rs4C7P4Bi85Fq,35AC,"(3, 0)"
model kits,,Space,Genre,,,No,No,No,,1,,,1000.0,690,172,Blue,Colorful,1x1,Yes,620.0,Poki,Nook's Cranny; HHP Office,,,,103,child's room,shop,,,,No,Toy,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrModelkitBox_Remake_4_0,4_0,13740,6eGJuEMzqqGjymXAq,35AC,"(4, 0)"
model kits,,Historical,Genre,,,No,No,No,,1,,,1000.0,690,172,Beige,Colorful,1x1,Yes,620.0,Poki,Nook's Cranny; HHP Office,,,,103,child's room,shop,,,,No,Toy,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrModelkitBox_Remake_5_0,5_0,13740,tfYbmbASPNQpFGNCh,35AC,"(5, 0)"
model kits,,Buildings,Genre,,,No,No,No,,1,,,1000.0,690,172,Green,Colorful,1x1,Yes,620.0,Poki,Nook's Cranny; HHP Office,,,,103,child's room,shop,,,,No,Toy,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrModelkitBox_Remake_6_0,6_0,13740,gBmiBcHMiRHtyZods,35AC,"(6, 0)"
modeling clay,,Beginning stages,Creation,,,Yes,Yes,No,,1,1.0,Normal,1000.0,NFS,400,Aqua,Gray,1x1,No,,,Crafting,,,,103,school,child's room,,,SmallGoods,No,Toy,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrClaytoy_Remake_0_0,0_0,7258,c9StuHHdFeaEvNx7v,1C5A,"(0, 0)"
modeling clay,,Dinosaur,Creation,,,Yes,Yes,No,,1,1.0,Normal,1000.0,NFS,400,Aqua,Gray,1x1,No,,,Crafting,,,,103,school,child's room,,,SmallGoods,No,Toy,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrClaytoy_Remake_1_0,1_0,7258,FC66CbJZ6sGhmd2Zw,1C5A,"(1, 0)"
modeling clay,,Cake,Creation,,,Yes,Yes,No,,1,1.0,Normal,1000.0,NFS,400,Yellow,Gray,1x1,No,,,Crafting,,,,103,school,child's room,,,SmallGoods,No,Toy,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrClaytoy_Remake_2_0,2_0,7258,TquhR2AAz4NG7S8xJ,1C5A,"(2, 0)"
modeling clay,,Colorful dinosaur,Creation,,,Yes,Yes,No,,1,1.0,Normal,1000.0,NFS,400,Green,Aqua,1x1,No,,,Crafting,,,,103,school,child's room,,,SmallGoods,No,Toy,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrClaytoy_Remake_3_0,3_0,7258,jGpauzsYFogScKq9a,1C5A,"(3, 0)"
modeling clay,,Colorful cake,Creation,,,Yes,Yes,No,,1,1.0,Normal,1000.0,NFS,400,Pink,Colorful,1x1,No,,,Crafting,,,,103,school,child's room,,,SmallGoods,No,Toy,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrClaytoy_Remake_4_0,4_0,7258,qSpEuZ6saC9GWcJrX,1C5A,"(4, 0)"
modeling clay,,Clay dinosaur,Creation,,,Yes,Yes,No,,1,1.0,Normal,1000.0,NFS,400,Beige,Brown,1x1,No,,,Crafting,,,,103,school,child's room,,,SmallGoods,No,Toy,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrClaytoy_Remake_5_0,5_0,7258,DwtZZENfBRnSCiXYQ,1C5A,"(5, 0)"
modeling clay,,Clay cake,Creation,,,Yes,Yes,No,,1,1.0,Normal,1000.0,NFS,400,Beige,Brown,1x1,No,,,Crafting,,,,103,school,child's room,,,SmallGoods,No,Toy,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrClaytoy_Remake_6_0,6_0,7258,v3K2dKwSwB6Ly2JJh,1C5A,"(6, 0)"
modern cash register,,White,Color,,,No,No,No,,1,,,1000.0,2600,650,White,Gray,1x1,No,2300.0,Poki,Nook's Cranny; HHP Office,,,,103,shop,supermarket,,,,Yes,Shop,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrCashier_Remake_0_0,0_0,12714,8SGeBFf58pND9teYP,31AA,"(0, 0)"
modern cash register,,Black,Color,,,No,No,No,,1,,,1000.0,2600,650,Black,Gray,1x1,No,2300.0,Poki,Nook's Cranny; HHP Office,,,,103,shop,supermarket,,,,Yes,Shop,No,Does not play music,No lighting,,For sale,2.0.0,Yes,FtrCashier_Remake_1_0,1_0,12714,bQTWBMr23e292L5fL,31AA,"(1, 0)"
mole cricket model,,,,,,No,No,No,,1,,,,NFS,1500,Brown,Brown,1x1,No,,,Flick,Trade 3 insects to receive a model in the mail the next day,,,251,,,,,,No,Insect,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrInsectOkeraToy,,7089,KFzaKycxuL8n3qTBv,1BB1,
Mom's candle set,,Cubes,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,Colorful,1x1,No,,,Mom,Received in March in the Northern Hemisphere and received in September in the Southern Hemisphere,,,365,living room,fancy,motherly,,Lighting,Yes,Lamp,No,Does not play music,Candle,,Not for sale,1.0.0,Yes,FtrMomCandle_Remake_0_0,0_0,7143,FYgk8cTo2QgJXfho8,1BE7,"(0, 0)"
Mom's candle set,,Elegant flowers,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,White,Colorful,1x1,No,,,Mom,Received in March in the Northern Hemisphere and received in September in the Southern Hemisphere,,,365,living room,fancy,motherly,,Lighting,Yes,Lamp,No,Does not play music,Candle,,Not for sale,1.0.0,Yes,FtrMomCandle_Remake_1_0,1_0,7143,rhbZpNiqSxQFYFjET,1BE7,"(1, 0)"
Mom's candle set,,Chic flowers,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,White,Beige,1x1,No,,,Mom,Received in March in the Northern Hemisphere and received in September in the Southern Hemisphere,,,365,living room,fancy,motherly,,Lighting,Yes,Lamp,No,Does not play music,Candle,,Not for sale,1.0.0,Yes,FtrMomCandle_Remake_2_0,2_0,7143,qniYFuKddXD6qMWsE,1BE7,"(2, 0)"
Mom's candle set,,Pastel,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,White,Colorful,1x1,No,,,Mom,Received in March in the Northern Hemisphere and received in September in the Southern Hemisphere,,,365,living room,fancy,motherly,,Lighting,Yes,Lamp,No,Does not play music,Candle,,Not for sale,1.0.0,Yes,FtrMomCandle_Remake_3_0,3_0,7143,N62JB95oqQ3DH4vKJ,1BE7,"(3, 0)"
Mom's candle set,,Fairy tale,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Red,Purple,1x1,No,,,Mom,Received in March in the Northern Hemisphere and received in September in the Southern Hemisphere,,,365,living room,fancy,motherly,,Lighting,Yes,Lamp,No,Does not play music,Candle,,Not for sale,1.0.0,Yes,FtrMomCandle_Remake_4_0,4_0,7143,5NquKTRtH2xXXfQtX,1BE7,"(4, 0)"
Mom's candle set,,Marine,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Aqua,Green,1x1,No,,,Mom,Received in March in the Northern Hemisphere and received in September in the Southern Hemisphere,,,365,living room,fancy,motherly,,Lighting,Yes,Lamp,No,Does not play music,Candle,,Not for sale,1.0.0,Yes,FtrMomCandle_Remake_5_0,5_0,7143,xSpi7hrajjPkmapq6,1BE7,"(5, 0)"
Mom's cushion,,Red with hearts,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,Red,1x1,No,,,Mom,Received in September in the Northern Hemisphere and received in March in the Southern Hemisphere,,,365,living room,fancy,motherly,,,Chair,Chair,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomCushion_Remake_0_0,0_0,7144,hvNQrR4uTyCMxxJpK,1BE8,"(0, 0)"
Mom's cushion,,Blue with flowers,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,Blue,1x1,No,,,Mom,Received in September in the Northern Hemisphere and received in March in the Southern Hemisphere,,,365,living room,fancy,motherly,,,Chair,Chair,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomCushion_Remake_1_0,1_0,7144,krf4iwGJGHr2NKPFb,1BE8,"(1, 0)"
Mom's cushion,,Colorful quilt,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,Green,1x1,No,,,Mom,Received in September in the Northern Hemisphere and received in March in the Southern Hemisphere,,,365,living room,fancy,motherly,,,Chair,Chair,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomCushion_Remake_2_0,2_0,7144,dbGxvTYFYm6ZnN5wm,1BE8,"(2, 0)"
Mom's cushion,,Pop flowers,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,Pink,1x1,No,,,Mom,Received in September in the Northern Hemisphere and received in March in the Southern Hemisphere,,,365,living room,fancy,motherly,,,Chair,Chair,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomCushion_Remake_3_0,3_0,7144,RK5hrNcDzDrc4eomb,1BE8,"(3, 0)"
Mom's cushion,,Animal,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Yellow,Blue,1x1,No,,,Mom,Received in September in the Northern Hemisphere and received in March in the Southern Hemisphere,,,365,living room,fancy,motherly,,,Chair,Chair,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomCushion_Remake_4_0,4_0,7144,LNWqJXXBa9axzg7xY,1BE8,"(4, 0)"
Mom's cushion,,Denim,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,Blue,1x1,No,,,Mom,Received in September in the Northern Hemisphere and received in March in the Southern Hemisphere,,,365,living room,fancy,motherly,,,Chair,Chair,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomCushion_Remake_5_0,5_0,7144,NoTd7XXCGpHjwqnx7,1BE8,"(5, 0)"
Mom's homemade cake,,Cat,Decorations,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,White,1x1,No,,,Mom,,Birthday,Yes,365,living room,fancy,motherly,,Food,No,DishFood,No,Does not play music,No lighting,5.0,Not for sale,1.0.0,Yes,FtrMomCake_Remake_0_0,0_0,7146,hN6x7ohRpi7ZYJJvX,1BEA,"(0, 0)"
Mom's homemade cake,,Strawberry & flowers,Decorations,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Red,White,1x1,No,,,Mom,,Birthday,Yes,365,living room,fancy,motherly,,Food,No,DishFood,No,Does not play music,No lighting,5.0,Not for sale,1.0.0,Yes,FtrMomCake_Remake_1_0,1_0,7146,uaEGpeTAHJXE64HZi,1BEA,"(1, 0)"
Mom's homemade cake,,Carrot,Decorations,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,White,1x1,No,,,Mom,,Birthday,Yes,365,living room,fancy,motherly,,Food,No,DishFood,No,Does not play music,No lighting,5.0,Not for sale,1.0.0,Yes,FtrMomCake_Remake_2_0,2_0,7146,y67sM38knQMui77sR,1BEA,"(2, 0)"
Mom's homemade cake,,Dog,Decorations,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,White,Pink,1x1,No,,,Mom,,Birthday,Yes,365,living room,fancy,motherly,,Food,No,DishFood,No,Does not play music,No lighting,5.0,Not for sale,1.0.0,Yes,FtrMomCake_Remake_3_0,3_0,7146,CANpPgd8d9xLdu4Mg,1BEA,"(3, 0)"
Mom's homemade cake,,Bird,Decorations,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,Blue,1x1,No,,,Mom,,Birthday,Yes,365,living room,fancy,motherly,,Food,No,DishFood,No,Does not play music,No lighting,5.0,Not for sale,1.0.0,Yes,FtrMomCake_Remake_4_0,4_0,7146,oYiTHnbqEbtGHyMfJ,1BEA,"(4, 0)"
Mom's homemade cake,,Chocolate,Decorations,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Brown,Black,1x1,No,,,Mom,,Birthday,Yes,365,living room,fancy,motherly,,Food,No,DishFood,No,Does not play music,No lighting,5.0,Not for sale,1.0.0,Yes,FtrMomCake_Remake_5_0,5_0,7146,x3rXhNoAGPxrjwbbr,1BEA,"(5, 0)"
Mom's pen stand,,Striped house,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,Red,1x1,No,,,Mom,Received in August in the Northern Hemisphere and received in July in the Southern Hemisphere,,,365,living room,fancy,motherly,,,No,Study,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomPenstand_Remake_0_0,0_0,7141,CcbzpqjBYkvMaboWP,1BE5,"(0, 0)"
Mom's pen stand,,Stone house,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,Orange,1x1,No,,,Mom,Received in August in the Northern Hemisphere and received in July in the Southern Hemisphere,,,365,living room,fancy,motherly,,,No,Study,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomPenstand_Remake_1_0,1_0,7141,KpygYwh8xcdKjDMFq,1BE5,"(1, 0)"
Mom's pen stand,,Brick house,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,Brown,1x1,No,,,Mom,Received in August in the Northern Hemisphere and received in July in the Southern Hemisphere,,,365,living room,fancy,motherly,,,No,Study,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomPenstand_Remake_2_0,2_0,7141,4bfxS83B4noPrgngu,1BE5,"(2, 0)"
Mom's pen stand,,Fairy-tale house,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,Pink,1x1,No,,,Mom,Received in August in the Northern Hemisphere and received in July in the Southern Hemisphere,,,365,living room,fancy,motherly,,,No,Study,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomPenstand_Remake_3_0,3_0,7141,DvprpbSzz4dncfjts,1BE5,"(3, 0)"
Mom's pen stand,,Simple house,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,Orange,1x1,No,,,Mom,Received in August in the Northern Hemisphere and received in July in the Southern Hemisphere,,,365,living room,fancy,motherly,,,No,Study,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomPenstand_Remake_4_0,4_0,7141,Lgzgxrb3ALYqJZbni,1BE5,"(4, 0)"
Mom's pen stand,,Wood house,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Beige,Brown,1x1,No,,,Mom,Received in August in the Northern Hemisphere and received in July in the Southern Hemisphere,,,365,living room,fancy,motherly,,,No,Study,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomPenstand_Remake_5_0,5_0,7141,3FFsbxLPsNrn5kioR,1BE5,"(5, 0)"
Mom's plushie,,Bedford,Name,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,White,Green,1x1,No,,,Mom,Received in July in the Northern Hemisphere and received in February in the Southern Hemisphere,,,365,living room,fancy,motherly,,SmallGoods,No,Animal,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomDoll_Remake_0_0,0_0,7147,d8cB4dRLidKddc2hs,1BEB,"(0, 0)"
Mom's plushie,,Dot,Name,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Gray,Yellow,1x1,No,,,Mom,Received in July in the Northern Hemisphere and received in February in the Southern Hemisphere,,,365,living room,fancy,motherly,,SmallGoods,No,Animal,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomDoll_Remake_1_0,1_0,7147,DKas9PsDztwD7LGPC,1BEB,"(1, 0)"
Mom's plushie,,Puppers,Name,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Brown,Orange,1x1,No,,,Mom,Received in July in the Northern Hemisphere and received in February in the Southern Hemisphere,,,365,living room,fancy,motherly,,SmallGoods,No,Animal,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomDoll_Remake_2_0,2_0,7147,2bSejFcAt6ih9nqAA,1BEB,"(2, 0)"
Mom's plushie,,Pippa,Name,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Pink,Yellow,1x1,No,,,Mom,Received in July in the Northern Hemisphere and received in February in the Southern Hemisphere,,,365,living room,fancy,motherly,,SmallGoods,No,Animal,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomDoll_Remake_3_0,3_0,7147,WbPLpDymxrwrgywoT,1BEB,"(3, 0)"
Mom's plushie,,Gertie,Name,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Green,Yellow,1x1,No,,,Mom,Received in July in the Northern Hemisphere and received in February in the Southern Hemisphere,,,365,living room,fancy,motherly,,SmallGoods,No,Animal,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomDoll_Remake_4_0,4_0,7147,RRxowHFdXcDopP2Gy,1BEB,"(4, 0)"
Mom's plushie,,Roary,Name,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Blue,Colorful,1x1,No,,,Mom,Received in July in the Northern Hemisphere and received in February in the Southern Hemisphere,,,365,living room,fancy,motherly,,SmallGoods,No,Animal,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomDoll_Remake_5_0,5_0,7147,iDxnL9nbqtetGrCbW,1BEB,"(5, 0)"
Mom's tea cozy,,Patterned,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,Red,1x1,No,,,Mom,Received in October in the Northern Hemisphere and received in April in the Southern Hemisphere,,,365,living room,fancy,motherly,,,No,Dining,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomPot_Remake_0_0,0_0,7138,GmXbMhreGMSzgRMLj,1BE2,"(0, 0)"
Mom's tea cozy,,Green & white,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Green,White,1x1,No,,,Mom,Received in October in the Northern Hemisphere and received in April in the Southern Hemisphere,,,365,living room,fancy,motherly,,,No,Dining,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomPot_Remake_1_0,1_0,7138,4Zv9eQdMko55n3jWC,1BE2,"(1, 0)"
Mom's tea cozy,,Floral,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,Yellow,1x1,No,,,Mom,Received in October in the Northern Hemisphere and received in April in the Southern Hemisphere,,,365,living room,fancy,motherly,,,No,Dining,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomPot_Remake_2_0,2_0,7138,T47oasfRkgFwqxyhb,1BE2,"(2, 0)"
Mom's tea cozy,,Pink,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,Pink,1x1,No,,,Mom,Received in October in the Northern Hemisphere and received in April in the Southern Hemisphere,,,365,living room,fancy,motherly,,,No,Dining,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomPot_Remake_3_0,3_0,7138,FZT2mzrn83Bw6MoFS,1BE2,"(3, 0)"
Mom's tea cozy,,Blue cat,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Aqua,Aqua,1x1,No,,,Mom,Received in October in the Northern Hemisphere and received in April in the Southern Hemisphere,,,365,living room,fancy,motherly,,,No,Dining,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomPot_Remake_4_0,4_0,7138,BHHxuYzAo7ZWfXvaX,1BE2,"(4, 0)"
Mom's tea cozy,,Blue & gray,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,Black,1x1,No,,,Mom,Received in October in the Northern Hemisphere and received in April in the Southern Hemisphere,,,365,living room,fancy,motherly,,,No,Dining,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomPot_Remake_5_0,5_0,7138,mwNxX2Cz3zhfyBfi6,1BE2,"(5, 0)"
Mom's tissue box,,Quilted pattern,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,White,1x1,No,,,Mom,Received in April in the Northern Hemisphere and received in October in the Southern Hemisphere,,,365,living room,fancy,motherly,,,Yes,Supplies,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomTissue_Remake_0_0,0_0,7140,t2qMKrjhBFyggjSoX,1BE4,"(0, 0)"
Mom's tissue box,,Flowers,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,White,White,1x1,No,,,Mom,Received in April in the Northern Hemisphere and received in October in the Southern Hemisphere,,,365,living room,fancy,motherly,,,Yes,Supplies,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomTissue_Remake_1_0,1_0,7140,bMkWsfYZFg3yQH2Xh,1BE4,"(1, 0)"
Mom's tissue box,,Quilted animals,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,White,1x1,No,,,Mom,Received in April in the Northern Hemisphere and received in October in the Southern Hemisphere,,,365,living room,fancy,motherly,,,Yes,Supplies,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomTissue_Remake_2_0,2_0,7140,cRmYKXpDR6cB3hGgK,1BE4,"(2, 0)"
Mom's tissue box,,Fanciful quilted pattern,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,White,1x1,No,,,Mom,Received in April in the Northern Hemisphere and received in October in the Southern Hemisphere,,,365,living room,fancy,motherly,,,Yes,Supplies,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomTissue_Remake_3_0,3_0,7140,sePqnNn8MrEQzKFFq,1BE4,"(3, 0)"
Mom's tissue box,,Fruits,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,White,1x1,No,,,Mom,Received in April in the Northern Hemisphere and received in October in the Southern Hemisphere,,,365,living room,fancy,motherly,,,Yes,Supplies,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomTissue_Remake_4_0,4_0,7140,s2iewGcx9Msc2dSm4,1BE4,"(4, 0)"
Mom's tissue box,,Denim with stripes,Design,,,No,Yes,No,,1,1.0,Normal,1000.0,NFS,88,Colorful,White,1x1,No,,,Mom,Received in April in the Northern Hemisphere and received in October in the Southern Hemisphere,,,365,living room,fancy,motherly,,,Yes,Supplies,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrMomTissue_Remake_5_0,5_0,7140,vM9KL7jL4aufGebb5,1BE4,"(5, 0)"
monarch butterfly model,,,,,,No,No,No,,1,,,,NFS,420,Orange,Orange,1x1,No,,,Flick,Trade 3 insects to receive a model in the mail the next day,,,251,,,,,,No,Insect,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrInsectOhkabamadaraToy,,7091,sgcStTmcAh54XBuqo,1BB3,
moon cakes,,,,,,No,No,No,,1,,,,1100,275,Orange,Black,1x1,No,,,Nook Shopping Seasonal,,Moon-Viewing Day,Yes,201,living room,harmonious,,,Food,No,DishFood,No,Does not play music,No lighting,5.0,Seasonal,1.11.0,Yes,FtrMooncake,,14548,qfRmRPvgaYf95BaBM,38D4,
moray eel model,,,,,,No,No,No,,1,,,,NFS,6000,Brown,Black,1x1,No,,,C.J.,Trade 3 fish to receive a model in the mail the next day,,,251,,,,,,No,Fish,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrFishUtsuboToy,,7025,FBzZFBbmSA3ebv6pC,1B71,
mosquito model,,,,,,No,No,No,,1,,,,NFS,390,Black,Black,1x1,No,,,Flick,Trade 3 insects to receive a model in the mail the next day,,,251,,,,,,No,Insect,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrInsectKaToy,,5936,ZP2ctmwogKR6Jqssb,1730,
moss ball,,,,,,No,No,No,,1,,,,720,180,Green,Green,1x1,No,650.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,harmonious,garden,,,Plant,No,Plants,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrBonsaiKokedama,,109,AbWzpJi5E7ZsnNJfG,006D,
moth model,,,,,,No,No,No,,1,,,,NFS,390,Beige,Beige,1x1,No,,,Flick,Trade 3 insects to receive a model in the mail the next day,,,251,,,,,,No,Insect,No,Does not play music,No lighting,,Not for sale,1.0.0,Yes,FtrInsectGaToy,,7056,RBhFGHXFPAiLNre3w,1B90,
mug,,White,Color,Plain,Design,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,460,115,White,White,1x1,No,410.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,kitchen,café,,,,No,Dining,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrMug_Remake_0_0,0_0,1870,8bfS85cNmeRSF8wit,074E,"(0, 0)"
mug,,White,Color,Square logo,Design,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,460,115,White,Black,1x1,No,410.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,kitchen,café,,,,No,Dining,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrMug_Remake_0_1,0_1,1870,G4ASEBS8APMFSN8PQ,074E,"(0, 32)"
mug,,White,Color,Round logo,Design,No,No,Yes,Default; Custom; Sable,1,1.0,Normal,1000.0,460,115,White,Yellow,1x1,No,410.0,Poki,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,,,103,kitchen,café,,,,No,Dining,No,Does not play music,No lighting,,For sale,1.0.0,Yes,FtrMug_Remake_0_2,0_2,1870,dZXZpXDKp6Cutj3RG,074E,"(0, 64)"
